epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.421,0.61042,1.98187,0.96609,0.64454,0.8125,0.83731,0.67449,0.55657,1.26394,0.92627,0.000332155,0.000332155,0.0671166
2,208.183,0.52707,1.23737,0.91999,0.71657,0.77906,0.88177,0.79279,0.45578,1.02052,0.85983,0.000656077,0.000656077,0.0341072
3,311.168,0.52582,1.03325,0.92317,0.79977,0.90406,0.89501,0.80422,0.4291,0.86455,0.8793,0.00097057,0.00097057,0.00108836
4,413.964,0.5005,0.91835,0.91489,0.65364,0.9088,0.92203,0.8481,0.41472,0.80568,0.86988,0.000957571,0.000957571,0.000957571
5,517.559,0.47704,0.75547,0.90187,0.83713,0.94465,0.9187,0.84231,0.3966,0.56475,0.8493,0.000943429,0.000943429,0.000943429
6,621.362,0.46907,0.70713,0.90208,0.8897,0.94527,0.97208,0.91828,0.35801,0.56256,0.83197,0.000929286,0.000929286,0.000929286
7,725.362,0.45754,0.64668,0.89671,0.91852,0.89459,0.96513,0.89275,0.38154,0.48096,0.84498,0.000915143,0.000915143,0.000915143
8,829.339,0.43833,0.59313,0.89399,0.93648,0.94803,0.98458,0.92723,0.36388,0.41738,0.83584,0.000901,0.000901,0.000901
9,933.487,0.42842,0.55921,0.89013,0.93354,0.85724,0.99083,0.92951,0.34155,0.53376,0.82693,0.000886857,0.000886857,0.000886857
10,1038.11,0.41094,0.5401,0.88181,0.86944,0.8924,0.98923,0.94997,0.30522,0.53843,0.81473,0.000872714,0.000872714,0.000872714
11,1142.55,0.40997,0.51914,0.88306,0.94361,0.93844,0.98652,0.93852,0.32479,0.42494,0.8226,0.000858571,0.000858571,0.000858571
12,1247.03,0.39694,0.48298,0.87341,0.86234,0.95455,0.97842,0.94886,0.29897,0.37912,0.81239,0.000844429,0.000844429,0.000844429
13,1351.42,0.38493,0.458,0.8745,0.79676,1,0.99083,0.94486,0.31274,0.38282,0.82997,0.000830286,0.000830286,0.000830286
14,1456.09,0.37418,0.44975,0.87336,0.9631,0.98847,0.99434,0.9551,0.32277,0.29892,0.81566,0.000816143,0.000816143,0.000816143
15,1560.71,0.37971,0.40306,0.87458,0.93571,0.96692,0.995,0.96149,0.29955,0.28716,0.80498,0.000802,0.000802,0.000802
16,1665.42,0.37659,0.41805,0.87271,0.90214,0.98222,0.98744,0.94861,0.30773,0.33516,0.81349,0.000787857,0.000787857,0.000787857
17,1770.05,0.38058,0.39905,0.87432,0.95973,0.98442,0.98894,0.94154,0.3305,0.32852,0.83547,0.000773714,0.000773714,0.000773714
18,1874.81,0.37323,0.40124,0.87332,0.93535,0.93491,0.99227,0.96257,0.30608,0.3459,0.80284,0.000759571,0.000759571,0.000759571
19,1979.63,0.37239,0.40243,0.8732,0.90341,0.94288,0.98378,0.95367,0.28822,0.40446,0.80961,0.000745429,0.000745429,0.000745429
20,2084,0.36453,0.37743,0.87363,0.95982,0.97436,0.995,0.95263,0.29713,0.28001,0.81969,0.000731286,0.000731286,0.000731286
21,2188.24,0.35298,0.36712,0.86844,0.87538,0.9558,0.9914,0.96108,0.28999,0.35229,0.82256,0.000717143,0.000717143,0.000717143
22,2292.84,0.3506,0.35868,0.8635,0.94525,0.99085,0.99047,0.95664,0.29237,0.2848,0.79892,0.000703,0.000703,0.000703
23,2397.72,0.35706,0.35601,0.86811,0.94803,0.94773,0.98255,0.94316,0.2756,0.33337,0.79237,0.000688857,0.000688857,0.000688857
24,2502.31,0.35741,0.33871,0.8678,0.95082,0.93931,0.96849,0.93491,0.29417,0.38574,0.80731,0.000674714,0.000674714,0.000674714
25,2607.55,0.34473,0.32356,0.86086,0.95435,0.94509,0.97828,0.94972,0.28248,0.37452,0.79576,0.000660571,0.000660571,0.000660571
26,2711.95,0.34142,0.32143,0.86565,0.97048,0.9864,0.995,0.967,0.27461,0.24676,0.78966,0.000646429,0.000646429,0.000646429
27,2815.83,0.33907,0.32152,0.86138,0.96216,0.96349,0.99162,0.95945,0.27833,0.32319,0.80863,0.000632286,0.000632286,0.000632286
28,2922.58,0.33647,0.31197,0.862,0.94747,0.95,0.97625,0.94542,0.28883,0.36421,0.82406,0.000618143,0.000618143,0.000618143
29,3033.3,0.33363,0.30486,0.85858,0.95223,0.94517,0.93733,0.91897,0.26081,0.4503,0.80569,0.000604,0.000604,0.000604
30,3140.76,0.33373,0.30255,0.86523,0.97254,0.94143,0.995,0.96945,0.27261,0.27045,0.81257,0.000589857,0.000589857,0.000589857
31,3245.15,0.32871,0.28614,0.86181,0.97918,0.94714,0.995,0.964,0.26916,0.28995,0.80403,0.000575714,0.000575714,0.000575714
32,3349.17,0.32305,0.28458,0.85841,0.93512,0.94365,0.98647,0.96674,0.25988,0.35856,0.79788,0.000561571,0.000561571,0.000561571
33,3456.56,0.32797,0.28876,0.8568,0.94734,0.93701,0.95579,0.93346,0.26031,0.39481,0.80977,0.000547429,0.000547429,0.000547429
34,3562.75,0.329,0.28237,0.85477,0.95034,0.94576,0.99495,0.97109,0.26385,0.28932,0.81424,0.000533286,0.000533286,0.000533286
35,3666.81,0.31843,0.27327,0.85373,0.9484,0.93656,0.96757,0.94515,0.25621,0.40458,0.80473,0.000519143,0.000519143,0.000519143
36,3771.37,0.31582,0.26855,0.85574,0.95583,0.94229,0.99491,0.96501,0.26908,0.33419,0.81334,0.000505,0.000505,0.000505
37,3876.67,0.31352,0.26585,0.85626,0.91907,0.97517,0.99268,0.96468,0.26277,0.25005,0.79943,0.000490857,0.000490857,0.000490857
38,3981.78,0.31391,0.26626,0.85804,0.95367,0.93673,0.98933,0.97083,0.25162,0.32566,0.78442,0.000476714,0.000476714,0.000476714
39,4087.36,0.31266,0.26011,0.85757,0.97928,0.98582,0.99442,0.97846,0.23964,0.2016,0.77622,0.000462571,0.000462571,0.000462571
40,4192.7,0.30765,0.25907,0.85431,0.94786,0.9367,0.9866,0.9685,0.2541,0.35595,0.80053,0.000448429,0.000448429,0.000448429
41,4298.2,0.30877,0.2635,0.85522,0.97133,0.97421,0.99018,0.96272,0.25791,0.25616,0.78797,0.000434286,0.000434286,0.000434286
42,4403.14,0.30726,0.25831,0.85176,0.92336,0.95474,0.98061,0.95428,0.24532,0.33108,0.79255,0.000420143,0.000420143,0.000420143
43,4507.95,0.29943,0.24819,0.84564,0.9602,0.95337,0.98765,0.96878,0.24659,0.26881,0.80346,0.000406,0.000406,0.000406
44,4612.8,0.2989,0.24382,0.8512,0.9749,0.98935,0.98932,0.97377,0.24483,0.23123,0.81244,0.000391857,0.000391857,0.000391857
45,4717.95,0.29911,0.23912,0.8546,0.98087,0.98645,0.98876,0.96681,0.24857,0.23722,0.80108,0.000377714,0.000377714,0.000377714
46,4822.9,0.29579,0.23429,0.85201,0.92932,0.97726,0.99158,0.97036,0.25348,0.2851,0.79048,0.000363571,0.000363571,0.000363571
47,4928.25,0.2958,0.23357,0.85176,0.95122,0.94168,0.97793,0.95275,0.25815,0.34086,0.80701,0.000349429,0.000349429,0.000349429
48,5033.34,0.29368,0.23418,0.85187,0.98496,0.99043,0.99477,0.97549,0.25313,0.18426,0.80102,0.000335286,0.000335286,0.000335286
49,5138.38,0.29091,0.22725,0.85215,0.95187,0.93383,0.99026,0.97214,0.24292,0.30271,0.79607,0.000321143,0.000321143,0.000321143
